id ;collab AN;collab HATVP
frederiquetuffnell;3;2
laetitiasaintpaul;4;4
jacquesmarilossian;5;4
josypoueyto;4;5
ericpoulliat;5;3
severinegipson;2;2
jeanpierrecubertafon;4;5
ianboucard;6;0
fabiengouttefarde;3;3
danielfasquelle;6;7
sandrinemorch;4;1
sylviecharriere;3;3
josianecorneloup;3;3
cyrilleisaacsibille;3;4
guybricout;4;4
ericbothorel;5;5
jeanluclagleize;3;4
fredericpetit;3;3
isabellevalentin;6;5
delphineo;3;3
fabiennecolboc;5;5
julienborowczyk;4;3
maximeminot;3;2
claudedeganay;3;4
guillaumepeltier;4;2
damienadam;3;3
jeanbaptistedjebbari;4;3
gerardmenuel;4;4
marietamarelleverhaeghe;3;1
mariepierrerixain;5;2
nicoledubrechirat;4;3
fionalazaar;3;2
ericpauget;4;4
jeanfrancoismbaye;3;4
saidahamada;5;3
christopheblanchet;3;3
christelledubos;3;3
mjidelguerrab;2;2
brunoquestel;5;3
louisaliot;3;0
valeriebazinmalgras;2;5
emmanuelleanthoine;3;3
alexandralouis;4;2
danieleobono;5;5
dinocinieri;6;6
sophiemette;3;3
fannettecharvier;3;3
emmanuellemenard;3;4
sebastienleclerc;4;0
rolandlescure;4;4
annelaurecattelot;2;2
annebrugnera;4;3
richardramos;1;1
antoineherth;3;3
jeanclaudeleclabart;3;4
frederiquelardet;3;2
francoisandre;2;3
moniquelimon;3;1
berangereabba;2;1
jeanyvesbony;2;4
gregorybessonmoreau;4;4
jeanclaudebouchet;4;3
benoitpotterie;4;4
alexandreholroyd;3;4
laurencetrastourisnart;5;5
micheldelpon;4;4
davidlorion;4;1
richardlioger;3;2
carolineabadie;3;3
sandramarsaud;3;0
jeanjacquesferrara;2;2
nadiaessayan;3;4
jacquelinedubois;4;2
rodriguekokouendo;3;3
marieangemagne;3;0
pascaleboyer;3;4
thierrymichels;4;6
emmanuelmaquet;4;2
stephaniedo;4;4
sylviapinel;3;1
zivkapark;4;1
maxmathiasin;4;4
mickaelnogal;2;3
lionelcausse;4;3
huguesrenson;4;3
blandinebrocard;4;4
marjolainemeyniermillefert;4;3
christinecloarec;4;3
frederiquemeunier;4;0
cathyraconbouzon;3;1
pieyrealexandreanglade;3;2
brunostuder;6;5
laurentgarcia;3;1
patriciamiralles;2;2
catherinefabre;3;1
justinebenin;5;3
carolegrandjean;2;4
alainperea;4;0
fadilakhattabi;3;3
graziellamelchior;3;2
florencelasserredavid;2;1
isabellerauch;5;1
veroniquehammerer;3;5
emmanuellefontainedomeizel;5;4
didiermartin;3;3
moniqueiborra;3;3
vincentrolland;5;5
sophiepanonacle;4;3
didierlegac;4;3
marinebrenier;5;4
annelaurencepetel;4;3
jeanmichelclement;5;3
dimitrihoubron;4;5
ericstraumann;3;3
nicolasdemoulin;5;5
jeanpierrepont;2;3
denissommer;3;1
sereinemauborgne;3;3
jeanbernardsempastous;3;3
typhaniedegois;4;4
dominiquedasilva;5;3
jacquelinemaquet;3;3
stephanelefoll;0;3
jeanlucmelenchon;3;2
nataliapouzyreff;4;3
dominiquedavid;3;3
ericcoquerel;4;3
ramlatiali;5;1
olivierfalorni;3;3
franckriester;3;2
francoiscornutgentille;2;2
christophearend;3;3
francoisderugy;3;2
fabricelevigoureux;3;1
pierrevatin;3;3
jacquesmaire;4;4
ainakuric;5;4
